% Open solar flux
% 27-day means(Bartel Rotation Periods) for 1964-December 2018 (inclusive)
% Kinematically corrected to remove folded flux
% please acknowledge M. Lockwood, University of Reading, UK
% and cite
% M. Lockwood, M. Owens, and A.P. Rouillard (2009)
% Excess Open Solar Magnetic Flux from Satellite Data: II. A survey of kinematic effects
% J. Geophys. Res., 114, A11104, doi: 10.1029/2009JA014450
% and 
% M. Lockwood, M. Owens, and A.P. Rouillard
% Excess Open Solar Magnetic Flux from Satellite Data: I. Analysis of the 3rd Perihelion Ulysses Pass
% J. Geophys. Res., 114, A11103, doi:10.1029/2009JA014449, 2009   

%  decimal year    OSF (10^15 Wb)         B (nT)       |Br| (nT)
   1.9836862e+03   3.9154298e-01   6.5604000e+00   3.5536000e+00
   1.9837602e+03   4.6796071e-01   8.3428986e+00   4.5089855e+00
   1.9838342e+03   3.8595260e-01   7.8567416e+00   3.7351124e+00
   1.9839082e+03   4.8573977e-01   7.7916107e+00   4.3130872e+00
   1.9839821e+03   3.6346200e-01   8.1848387e+00   3.5600000e+00
   1.9840560e+03   4.2033270e-01   7.5741228e+00   3.6438596e+00
   1.9841297e+03   5.1867534e-01   8.3387755e+00   4.4581633e+00
   1.9842035e+03   4.6204794e-01   7.9736641e+00   4.2381679e+00
   1.9842773e+03   5.6487863e-01   6.9182796e+00   4.4064516e+00
   1.9843510e+03   6.1706116e-01   9.2930556e+00   5.4907407e+00
   1.9844248e+03   5.3481752e-01   8.4420765e+00   4.7480874e+00
   1.9844986e+03   4.6539554e-01   7.8337778e+00   4.0386667e+00
   1.9845723e+03   3.6461538e-01   6.4300971e+00   3.6975728e+00
   1.9846461e+03   4.0361612e-01   7.7306250e+00   4.0275000e+00
   1.9847199e+03   6.6346261e-01   8.7056962e+00   5.4424051e+00
   1.9847937e+03   4.8973939e-01   7.7228395e+00   4.3987654e+00
   1.9848674e+03   5.8885021e-01   1.0118947e+01   5.2294737e+00
   1.9849412e+03   5.7449912e-01   7.0262500e+00   4.3762500e+00
   1.9850150e+03   3.5289570e-01   5.6160377e+00   3.2066038e+00
   1.9850890e+03   5.3123123e-01   7.0012821e+00   4.2576923e+00
   1.9851630e+03   2.9890010e-01   6.2125000e+00   2.8839286e+00
   1.9852369e+03   2.8655172e-01   5.7187755e+00   2.8710204e+00
   1.9853109e+03   4.1009731e-01   6.0456338e+00   3.4301408e+00
   1.9853849e+03   3.6728189e-01   5.5325956e+00   3.0553320e+00
   1.9854588e+03   3.5512255e-01   5.4212341e+00   2.8337568e+00
   1.9855328e+03   4.1880155e-01   5.8972789e+00   3.4170068e+00
   1.9856068e+03   3.4359592e-01   5.9012685e+00   3.2143763e+00
   1.9856808e+03   3.2308139e-01   5.5560000e+00   2.9248889e+00
   1.9857547e+03   4.1613490e-01   6.0603406e+00   3.5257908e+00
   1.9858287e+03   3.4521714e-01   6.3102941e+00   3.3147059e+00
   1.9859027e+03   3.1884855e-01   5.4779412e+00   2.9583333e+00
   1.9859767e+03   3.1226507e-01   5.5200000e+00   2.8347059e+00
